,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,country_code
888,Caturra,Costa Rica,Washed / Wet,2014,7.33,7.33,7.25,7.25,7.17,7.17,10,10,10,7.25,0.11,188
889,Typica,Mexico,Washed / Wet,2012,7.58,7.33,7.42,7.25,7.5,7.5,9.33,9.33,10,7.5,0.11,484
890,Typica,Others,Washed / Wet,2012,7.42,7,7.42,7.25,7.08,7.33,10,10,10,7.25,0.12,332
891,Other,Others,Semi-washed / Semi-pulped,2015,7.58,7.42,7,7.67,7.5,7.5,9.33,9.33,10,7.33,0.13,360
892,Bourbon,Guatemala,Washed / Wet,2016,7.67,7.42,6.83,7.17,7.42,7.17,10,10,10,7,0.11,320
893,Caturra,Costa Rica,Washed / Wet,2015,7.83,7.5,7.67,7.67,7.83,7.5,6.67,10,10,8,0.11,188
894,Caturra,Others,Washed / Wet,2014,7.5,7.25,7.17,7.17,7.25,7.17,10,10,10,7.17,0.12,454
895,Typica,Mexico,Washed / Wet,2014,7.25,7.17,7.17,7.25,7.17,7.42,10,10,10,7.25,0.12,484
896,Caturra,Colombia,Natural / Dry,2014,7.67,7.5,7.42,7.67,7.5,7.75,10,10,6.67,8.5,0,170
897,Bourbon,Guatemala,Washed / Wet,2013,7.67,7.17,7,7.5,7,7,10,10,10,7.33,0.12,320
898,Bourbon,Guatemala,Washed / Wet,2012,7,7.33,7.5,7.33,7,7.33,10,10,10,7.17,0.11,320
899,Bourbon,Guatemala,Washed / Wet,2012,7,7.5,7.33,7.17,7.17,7.17,10,10,10,7.33,0.11,320
900,Caturra,Colombia,Washed / Wet,2012,7.17,7.25,7.08,7.42,7.08,7.42,10,10,10,7.25,0.18,170
901,Caturra,Brazil,Washed / Wet,2016,7.33,7.25,7.33,7.08,7.58,7.25,9.33,10,10,7.42,0.11,76
902,Caturra,Others,Washed / Wet,2016,7.08,7.5,7,7.25,7.42,7,10,10,10,7.33,0.11,558
903,Bourbon,Brazil,Semi-washed / Semi-pulped,2015,7.42,7.25,7.33,7,7.08,7.25,10,10,10,7.25,0,76
904,Caturra,Honduras,Washed / Wet,2014,7.5,7.17,7,7.42,7.33,7,10,10,10,7.17,0.11,340
905,Bourbon,Guatemala,Natural / Dry,2014,7.17,7.42,6.83,7.5,7.17,7.25,10,10,10,7.25,0.11,320
906,Caturra,Colombia,Washed / Wet,2012,7.08,7.25,7,7.5,7.08,7.33,10,10,10,7.33,0,170
907,Caturra,Guatemala,Washed / Wet,2017,7.33,7.25,7.08,7.17,7.25,7.17,10,10,10,7.25,0.1,320
908,Catuai,Honduras,Washed / Wet,2017,7.58,7.33,7,7.17,7.33,7.08,10,10,10,7,0.11,340
909,Caturra,Others,Washed / Wet,2016,7.25,7.25,7.17,7.17,7.25,7.17,10,10,10,7.25,0.12,480
910,Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2016,7.25,7.33,7.17,7.5,7.33,7.25,9.33,10,10,7.33,0.11,76
911,Other,Others,Washed / Wet,2015,7.17,7.33,7.17,7.42,7.25,7.08,10,10,10,7.08,0,104
912,Other,Guatemala,Washed / Wet,2014,7.5,7.17,6.83,7.5,7.17,7.17,10,10,10,7.17,0.11,320
913,Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2013,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,0.1,76
914,Bourbon,Guatemala,Washed / Wet,2013,7.5,7.5,7,7.67,7.17,7,10,10,10,6.67,0.12,320
915,Typica,Mexico,Washed / Wet,2012,7.25,7.25,7.08,7.33,7.25,7.17,10,10,10,7.17,0.15,484
916,Caturra,Honduras,Washed / Wet,2016,7.25,7.42,7,7.42,7.33,7,10,10,10,7,0.1,340
917,Bourbon,Others,Washed / Wet,2013,7.33,7.17,7.08,7.08,7.33,7.17,10,10,10,7.25,0,222
918,Other,Others,Washed / Wet,2013,7.25,7.08,7.25,7.17,7.33,7.17,10,10,10,7.17,0.17,156
919,Typica,Mexico,Washed / Wet,2012,6.92,7.17,7.08,7.5,7.33,7.17,10,10,10,7.25,0.1,484
920,Caturra,Mexico,Washed / Wet,2012,7.42,7.08,7.08,7.33,7.25,7.17,10,10,10,7.08,0.12,484
921,Caturra,Others,Washed / Wet,2016,7.08,7.25,7.17,7.33,7.08,7.08,10,10,10,7.33,0.12,108
922,Bourbon,Guatemala,Washed / Wet,2013,7.33,7.33,6.83,7.5,7,7.17,10,10,10,7.17,0.11,320
923,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.25,7.08,7.08,7.33,7.33,7.17,10,10,10,7.08,0.11,484
924,Caturra,Ethiopia,Washed / Wet,2010,7.25,7.25,7.25,7.33,7.5,8,9.33,9.33,10,7.08,0.1,231
925,Catuai,Brazil,Natural / Dry,2018,7.17,7.33,7.42,7.08,7,7,10,10,10,7.25,0.11,76
926,Caturra,Honduras,Natural / Dry,2016,7.25,7.25,7,7,7.42,7,10,10,10,7.33,0.1,340
927,Caturra,Mexico,Washed / Wet,2016,7.25,7.17,7,7.33,7.33,7,10,10,10,7.17,0.1,484
928,Other,Others,Natural / Dry,2015,8,7.08,7,7.33,7.08,6.92,10,10,10,6.83,0.11,104
929,Catuai,Others,Natural / Dry,2014,7.42,7,7.08,7,7.17,7.33,10,10,10,7.25,0,104
930,Caturra,Others,Washed / Wet,2015,7.08,6.92,7,7.25,7.5,7.25,10,10,10,7.25,0.11,558
931,Typica,Colombia,Washed / Wet,2012,7.42,8,7.83,7.75,8.08,7.58,8.67,8.67,8.67,7.58,0.1,170
932,Caturra,Guatemala,Washed / Wet,2012,7,7.17,7.33,7.33,7,7.17,10,10,10,7.25,0.11,320
933,Caturra,Mexico,Washed / Wet,2012,7.58,7.33,7.17,7.25,6.75,7,10,10,10,7.17,0.11,484
934,Caturra,Others,Washed / Wet,2015,7.17,7.08,7.08,7.33,7.25,7.08,10,10,10,7.17,0.11,558
935,Catuai,Honduras,Washed / Wet,2015,7.25,7.25,7,7.17,7.08,7.08,10,10,10,7.33,0.11,340
936,Bourbon,Guatemala,Washed / Wet,2013,7.33,7.33,7,7.17,7.17,7.17,10,10,10,7,0.11,320
937,Typica,Mexico,Washed / Wet,2012,7.33,7.08,6.92,7.42,7.25,7.08,10,10,10,7.08,0.11,484
938,Typica,Mexico,Washed / Wet,2012,7.58,7.42,7.33,7.5,7.08,7.17,8.67,10,10,7.42,0.14,484
939,Bourbon,Mexico,Washed / Wet,2012,7.33,7.33,7.17,7.08,7.25,7,10,10,10,7,0.12,484
940,Bourbon,Guatemala,Washed / Wet,2012,7.33,7.33,7,7.33,7,7,10,10,10,7.17,0.11,320
941,Bourbon,Brazil,Pulped natural / honey,2018,7.17,7.17,7,7.17,7.25,7.25,10,10,10,7.08,0.11,76
942,Caturra,Others,Natural / Dry,2013,7.25,7.17,6.92,7.25,7.17,7.25,10,10,10,7.08,0.1,558
943,Typica,Mexico,Washed / Wet,2012,7.33,7.17,7.25,7.08,7.08,7.08,10,10,10,7.08,0.15,484
944,Typica,Mexico,Washed / Wet,2012,7.25,7.08,7,7.17,7.33,7.17,10,10,10,7.08,0.14,484
945,Caturra,Others,Washed / Wet,2017,7.33,7.08,6.92,7.08,7.42,7.17,10,10,10,7,0.1,558
946,Other,Others,Washed / Wet,2015,7.17,7.33,7,7.42,7.17,7,10,10,10,6.92,0,104
947,Typica,Mexico,Washed / Wet,2014,7.58,7.75,7.42,7.5,7.5,7.5,8.67,8.67,10,7.42,0,484
948,Caturra,Thailand,Washed / Wet,2012,7.33,6.67,7.08,7.42,7.42,7.08,10,10,10,7,0,764
949,Typica,Mexico,Washed / Wet,2012,7.25,7.25,7.08,7.17,7.33,7.33,9.33,10,10,7.25,0.12,484
950,Other,Mexico,Washed / Wet,2012,7.08,7.33,7,7.33,7.08,7,10,10,10,7.17,0.11,484
951,Caturra,Ethiopia,Washed / Wet,2010,7.42,7.42,7.5,7.92,7.75,7.58,8.67,9.33,8.67,7.75,0.05,231
952,Caturra,Colombia,Washed / Wet,2015,7.83,7.67,7.58,7.75,7.83,7.17,6.67,10,10,7.42,0,170
953,Bourbon,Mexico,Washed / Wet,2013,7.33,7.08,7.08,7.33,7.42,7.17,9.33,10,10,7.17,0.12,484
954,Other,Mexico,Washed / Wet,2012,7.17,7.17,6.92,7.25,7.33,7.08,10,10,10,7,0.12,484
955,Bourbon,Mexico,Washed / Wet,2012,7.5,7.17,7,7.17,7.25,7.08,10,10,10,6.75,0,484
956,Catuai,Mexico,Washed / Wet,2012,7.17,7.08,7.08,7.08,7.5,7.33,9.33,10,10,7.33,0.11,484
957,Typica,Mexico,Natural / Dry,2012,7.33,7.25,7,7.42,7.17,7.17,9.33,10,10,7.25,0.12,484
958,Mundo Novo,Mexico,Washed / Wet,2012,7.17,7.33,7.08,7.58,7.33,7.08,10,9.33,10,7,0.11,484
959,Other,Others,Washed / Wet,2017,7,7.08,7,7.17,7.25,7.25,10,10,10,7.08,0.11,404
960,Bourbon,Guatemala,Washed / Wet,2017,7.33,7.25,6.92,7.33,7.25,7.33,9.33,10,10,7.08,0.1,320
961,Caturra,Others,Washed / Wet,2014,6.83,7.17,7.17,6.92,7.5,7.08,10,10,10,7.17,0.11,558
962,Typica,Mexico,Washed / Wet,2012,7.17,7.08,7,7.25,7.5,7,10,10,10,6.83,0.12,484
963,Bourbon,Guatemala,Washed / Wet,2016,7.5,7.42,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.25,0.1,320
964,Caturra,Thailand,Washed / Wet,2013,7.25,7.08,6.92,7.5,7.08,6.92,10,10,10,7,0.12,764
965,Caturra,Others,Washed / Wet,2013,7,7.08,7,7.25,7.5,7.42,9.33,10,10,7.17,0.12,604
966,Catuai,Costa Rica,Washed / Wet,2013,7.58,7.5,7.67,7.75,7.67,7.58,8,8,10,8,0.1,188
967,Typica,Mexico,Washed / Wet,2013,7.58,7.08,7,7,7.5,6.92,10,10,10,6.67,0.12,484
968,Bourbon,Mexico,Washed / Wet,2013,7.58,7.08,6.92,7.58,7.5,6.92,10,9.33,10,6.83,0.13,484
969,Bourbon,Mexico,Washed / Wet,2013,7.25,7.08,7,7.17,7.17,7.08,10,10,10,7,0.12,484
970,Bourbon,Mexico,Washed / Wet,2012,7.25,7.17,7.17,7.08,7.17,7,10,10,10,6.92,0.14,484
971,Typica,Mexico,Washed / Wet,2012,7.33,7.25,7,7.08,7.08,7,10,10,10,7,0.1,484
972,Bourbon,Guatemala,Washed / Wet,2012,7.58,7.33,7.5,7.33,7,7.33,9.33,9.33,9.33,7.67,0,320
973,Typica,Mexico,Washed / Wet,2012,7.25,6.83,6.92,7.08,7.25,7.08,10,10,10,7.33,0.12,484
974,Bourbon,Guatemala,Washed / Wet,2016,7.42,7.42,7.25,7.58,7.42,7.33,9.33,9.33,9.33,7.25,0.1,320
975,Bourbon,Others,Washed / Wet,2016,7.25,7.08,7,6.83,7.33,7.17,10,10,10,7,0,222
976,Caturra,Thailand,Washed / Wet,2013,6.92,7.17,6.83,7.42,7.17,7.08,10,10,10,7.08,0.12,764
977,Bourbon,Guatemala,Washed / Wet,2013,7.5,7,6.83,7.08,7.08,7.17,10,10,10,7,0.11,320
978,Typica,Mexico,Washed / Wet,2013,7.42,7.25,6.83,7.58,7.17,6.58,10,10,10,6.83,0.12,484
979,Caturra,Mexico,Washed / Wet,2012,7.33,7.17,7,6.75,7.08,7,10,10,10,7.33,0.13,484
980,Mundo Novo,Mexico,Washed / Wet,2012,6.92,7.17,7.17,7.17,7.08,7.08,10,10,10,7.08,0,484
981,Other,Thailand,Washed / Wet,2012,7.17,7.17,7,7,7.25,6.92,10,10,10,7.17,0,764
982,Typica,Mexico,Washed / Wet,2012,7.08,7,6.92,7.33,7.25,7.08,10,10,10,6.92,0.12,484
983,Caturra,Mexico,Washed / Wet,2012,7.25,6.92,6.92,7.33,7.25,7,10,10,10,6.92,0.13,484
984,Caturra,Colombia,Washed / Wet,2010,7.25,7.17,7,6.75,7.17,7.33,10,10,10,6.92,0.1,170
985,Caturra,Guatemala,Washed / Wet,2010,7.08,7,6.83,7.33,7.25,7,10,10,10,7.08,0.17,320
986,Caturra,Others,Natural / Dry,2015,6.92,6.92,7,7.42,7.25,7,10,10,10,7,0.12,558
987,Caturra,Colombia,Washed / Wet,2013,7.83,7.5,7.42,7.42,7.67,7.5,10,6.67,10,7.5,0,170
988,Caturra,Mexico,Washed / Wet,2012,7.25,7.08,6.92,7.25,7.58,7.08,9.33,10,10,7,0.12,484
989,Typica,Mexico,Washed / Wet,2012,7.25,7.33,7,7.25,7.17,7.17,9.33,10,10,7,0.12,484
990,Bourbon,Guatemala,Washed / Wet,2013,7.08,7.33,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.42,0.1,320
991,Other,Guatemala,Washed / Wet,2014,7.25,7.33,6.83,7,7,7.17,10,10,10,6.83,0.1,320
992,Typica,Mexico,Washed / Wet,2012,7,6.83,6.83,7.42,7.33,7.17,10,10,10,6.83,0.13,484
993,Caturra,Mexico,Washed / Wet,2016,7.42,7.25,6.83,7,7.33,7.08,9.33,10,10,7.08,0.13,484
994,Caturra,Colombia,Washed / Wet,2013,7.42,7.25,6.75,7.25,7.42,7.25,9.33,9.33,10,7.33,0,170
995,Typica,Mexico,Washed / Wet,2012,7,7,6.83,7.33,7.42,6.92,10,10,10,6.83,0.14,484
996,Typica,Mexico,Washed / Wet,2012,7.42,7.17,7.08,7.17,7.08,7.08,9.33,10,10,7,0.14,484
997,Bourbon,Guatemala,Washed / Wet,2012,7.17,6.5,6.33,7.25,7.58,7.33,10,10,10,7.17,0.11,320
998,Bourbon,Mexico,Washed / Wet,2012,7,7,6.92,7.17,7.17,7.08,10,10,10,6.92,0.13,484
999,Bourbon,Guatemala,Washed / Wet,2017,7.33,7.42,7.33,7.42,7.5,7.42,8.67,9.33,9.33,7.42,0.1,320
1000,Catuai,Honduras,Washed / Wet,2017,7.58,7,6.75,6.92,7,6.92,10,10,10,7,0.11,340
1001,Bourbon,Guatemala,Washed / Wet,2016,7.08,7,6.92,7.42,7,6.92,10,10,10,6.83,0.11,320
1002,Catuai,Guatemala,Washed / Wet,2015,7.25,7.17,6.75,7.25,7,6.92,10,10,10,6.83,0.11,320
1003,Catuai,Costa Rica,Washed / Wet,2012,7.17,7.42,7.5,8,7.25,7.83,10,10,6.67,7.33,0.1,188
1004,Typica,Mexico,Washed / Wet,2012,7.25,7.08,6.92,7.08,7.17,7.17,9.33,10,10,7.17,0.14,484
1005,Typica,Mexico,Washed / Wet,2012,7.17,6.92,6.92,7.08,7.17,7,10,10,10,6.92,0.14,484
1006,Typica,Mexico,Washed / Wet,2009,6.75,6.75,6.83,7.25,7.58,7.08,10,10,10,6.92,0.01,484
1007,Bourbon,Guatemala,Washed / Wet,2017,7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,8.67,7.67,0.1,320
1008,Typica,Mexico,Washed / Wet,2012,7.33,7,6.92,7.25,7.33,7.08,9.33,10,10,6.83,0.16,484
1009,Mundo Novo,Mexico,Washed / Wet,2012,7.25,7.08,6.75,7.33,7.42,7,9.33,10,10,6.92,0.11,484
1010,Typica,Mexico,Washed / Wet,2012,7.17,7.25,7.25,7.17,7.25,7.08,9.33,9.33,10,7.25,0.1,484
1011,Caturra,Mexico,Washed / Wet,2012,6.75,6.75,6.42,6.83,7.58,7.5,10,10,10,7.25,0.1,484
1012,Other,Guatemala,Washed / Wet,2014,7.33,7.17,6.58,7.42,7.08,6.83,10,10,10,6.58,0.12,320
1013,Other,Honduras,Washed / Wet,2014,7,7,7,7,7,7,10,10,10,7,0.11,340
1014,Typica,Others,Washed / Wet,2012,7.67,7.17,7.08,7.25,8,7.5,8.67,9.33,9.33,7,0,604
1015,Mundo Novo,Mexico,Natural / Dry,2012,6.75,7.08,6.67,7.25,7.17,7.08,10,10,10,7,0.12,484
1016,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.5,7.17,6.92,7.5,7.25,7,8.67,10,10,7,0.14,484
1017,Typica,Mexico,Washed / Wet,2012,7.17,6.83,6.83,7.25,7.17,6.92,10,10,10,6.83,0.14,484
1018,Typica,Mexico,Washed / Wet,2013,7.33,7,6.75,7.08,7.17,7.25,9.33,10,10,7,0.12,484
1019,Typica,Mexico,Washed / Wet,2012,7.5,7,6.92,7.08,6.92,6.75,10,10,10,6.75,0.16,484
1020,Caturra,Others,Other,2016,7.17,7,6.92,7,7,7,10,10,10,6.75,0.1,558
1021,Bourbon,Guatemala,Washed / Wet,2013,7.33,7.08,6.33,7.25,7,7,10,10,10,6.75,0.12,320
1022,Typica,Mexico,Washed / Wet,2012,7.25,6.83,6.83,7,7.17,7,10,10,10,6.67,0.14,484
1023,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.25,7.33,7.17,7.25,7.08,7,8.67,10,10,7,0.14,484
1024,Bourbon,Mexico,Washed / Wet,2012,7.67,7.17,6.83,7.33,7.58,7.17,9.33,10,8.67,7,0.12,484
1025,Typica,Others,Washed / Wet,2013,7,6.92,6.83,7.17,7.17,7.17,10,10,9.33,7.08,0,156
1026,Caturra,Mexico,Washed / Wet,2012,6.92,6.92,6.67,7.25,7.17,6.92,10,10,10,6.83,0.13,484
1027,Caturra,Others,Washed / Wet,2016,7.08,7,6.75,6.83,7.08,6.92,10,10,10,6.92,0.1,558
1028,Caturra,Others,Natural / Dry,2014,6.83,7.08,6.92,6.75,7.25,7.08,10,10,10,6.67,0.11,558
1029,Other,Guatemala,Washed / Wet,2014,7.33,7.17,6.92,7.58,7.25,7.17,8.67,9.33,10,7.17,0.12,320
1030,Typica,Mexico,Washed / Wet,2012,7,7,6.75,7.33,6.92,6.92,10,10,10,6.67,0.13,484
1031,Typica,Mexico,Washed / Wet,2012,7.92,7.58,7.58,7.92,7.92,7.5,8,6.67,10,7.5,0.1,484
1032,Bourbon,Mexico,Washed / Wet,2014,7.25,6.75,6.92,6.92,7.25,7.58,9.33,9.33,10,7.17,0,484
1033,Typica,Mexico,Washed / Wet,2012,7.08,6.83,6.83,7,7,6.92,10,10,10,6.83,0.12,484
1034,Caturra,Mexico,Washed / Wet,2012,7.25,7.17,7,6.83,7.58,7.08,8.67,10,10,6.92,0.13,484
1035,Catuai,Brazil,Natural / Dry,2015,6.83,7,6.92,7.08,6.92,6.83,10,10,10,6.83,0.12,76
1036,Typica,Mexico,Washed / Wet,2012,7.58,7.17,7,7.17,7.33,7,8,10,10,7.17,0.14,484
1037,Other,Guatemala,Washed / Wet,2014,7.17,6.5,6.67,7,7.17,7.17,10,10,10,6.67,0.1,320
1038,Bourbon,Guatemala,Washed / Wet,2012,7.17,7.17,6.5,7.17,7,6.83,10,10,10,6.5,0.11,320
1039,Typica,Mexico,Natural / Dry,2012,7.25,7.25,7,7.5,7.33,7.42,8,9.33,10,7.75,0.13,484
1040,Bourbon,Guatemala,Washed / Wet,2012,7.17,6.08,6.17,7.25,7.33,7.33,10,10,10,7,0.11,320
1041,Other,Others,Washed / Wet,2016,6.92,6.83,6.92,6.92,6.92,6.83,10,10,10,6.83,0.13,360
1042,Typica,Mexico,Washed / Wet,2012,7.08,6.83,6.67,7.25,7.25,6.92,10,9.33,10,6.75,0.11,484
1043,Other,Honduras,Natural / Dry,2014,6.83,7,6.67,7,7,6.83,10,10,10,6.67,0.11,340
1044,Other,Guatemala,Washed / Wet,2014,7.42,7.25,6.83,7.33,7,6.92,9.33,9.33,9.33,7.25,0.1,320
1045,Typica,Others,Washed / Wet,2013,7.33,7.17,6.92,7.08,7.33,7,9.33,9.33,9.33,7.17,0.1,156
1046,Bourbon,Guatemala,Washed / Wet,2013,7,6.83,6.83,7.17,6.67,6.83,10,10,10,6.67,0.11,320
1047,Other,Mexico,Washed / Wet,2012,7.25,7.33,7,7,7.25,7.08,10,10,8,7.08,0.12,484
1048,Caturra,Colombia,Washed / Wet,2012,7.42,7.17,7,7.17,7.67,7.17,8.67,9.33,9.33,7.08,0.1,170
1049,Caturra,Costa Rica,Washed / Wet,2014,7.5,7.25,7.42,7,7.08,6.83,8.67,9.33,10,6.83,0.12,188
1050,Typica,Mexico,Washed / Wet,2012,7.42,7.25,7,7,7.25,7.08,8,10,10,6.92,0.11,484
1051,Bourbon,Guatemala,Washed / Wet,2012,7.17,6.17,6.17,7.08,7.33,6.83,10,10,10,7.17,0.11,320
1052,Caturra,Others,Washed / Wet,2016,7.42,7,7,7.17,7.08,7,9.33,8.67,10,7.17,0.1,558
1053,Caturra,Brazil,Washed / Wet,2014,7,6.75,6.67,6.83,7.08,6.83,10,10,10,6.67,0.11,76
1054,Bourbon,Guatemala,Washed / Wet,2013,7,6.83,6.67,7.17,6.83,6.83,10,10,10,6.5,0.11,320
1055,Typica,Mexico,Washed / Wet,2012,7.17,6.75,6.58,6.75,6.83,6.75,10,10,10,6.67,0.13,484
1056,Bourbon,Guatemala,Washed / Wet,2013,7.08,6.92,6.33,7,6.92,7,10,10,10,6.17,0.11,320
