Unnamed: 0,total_cup_points,species,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture
99,85,Arabica,Typica,Mexico,Washed / Wet,2015,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,0.09
100,85,Arabica,Caturra,Others,Washed / Wet,2015,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,0.11
101,85,Arabica,Other,Others,Washed / Wet,2012,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,0
102,85,Arabica,Mundo Novo,Brazil,Natural / Dry,2012,8,8,7.83,7.83,7.67,7.67,10,10,10,8,0.12
103,85,Arabica,Other,Mexico,Washed / Wet,2011,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,0
104,85,Arabica,Caturra,United States (Hawaii),Washed / Wet,2012,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,0
105,85,Arabica,Caturra,Guatemala,Washed / Wet,2010,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,0.04
106,84.92,Arabica,Caturra,Colombia,Washed / Wet,2016,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,0
107,84.92,Arabica,Caturra,Colombia,Washed / Wet,2015,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,0.12
108,84.92,Arabica,Typica,Taiwan,Semi-washed / Semi-pulped,2015,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,0.11
109,84.92,Arabica,Other,"Tanzania, United Republic Of",Washed / Wet,2014,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,0.12
110,84.92,Arabica,Caturra,Colombia,Washed / Wet,2012,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,0.11
111,84.92,Arabica,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,0.11
112,84.92,Arabica,Bourbon,Brazil,Natural / Dry,2011,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,0.11
113,84.92,Arabica,Catuai,Brazil,Natural / Dry,2011,8,8,7.75,8,7.5,7.75,10,10,10,7.92,0.12
114,84.92,Arabica,Caturra,Others,Washed / Wet,2010,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,0.06
115,84.83,Arabica,Typica,Taiwan,Natural / Dry,2016,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,0
116,84.83,Arabica,Other,Uganda,Natural / Dry,2013,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,0.12
117,84.83,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,0
118,84.83,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,0.1
119,84.83,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,0.1
120,84.75,Arabica,Caturra,Thailand,Pulped natural / honey,2015,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,0.12
121,84.75,Arabica,Other,Others,Washed / Wet,2014,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,0.13
122,84.75,Arabica,Catuai,Honduras,Washed / Wet,2014,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,0.11
123,84.75,Arabica,Caturra,Others,Washed / Wet,2011,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,0.15
124,84.75,Arabica,Caturra,Others,Washed / Wet,2010,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,0.18
125,84.67,Arabica,Bourbon,Others,Washed / Wet,2016,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,0
126,84.67,Arabica,Other,Others,Washed / Wet,2016,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0.12
127,84.67,Arabica,Mundo Novo,Others,Pulped natural / honey,2012,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,0.12
128,84.67,Arabica,Catuai,Costa Rica,Washed / Wet,2015,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,0.1
129,84.67,Arabica,Bourbon,Guatemala,Washed / Wet,2015,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,0.1
130,84.67,Arabica,Caturra,Costa Rica,Washed / Wet,2014,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,0.12
131,84.67,Arabica,Other,Ethiopia,Washed / Wet,2014,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,0.1
132,84.67,Arabica,Other,Costa Rica,Other,2014,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,0.08
133,84.67,Arabica,Catuai,Costa Rica,Washed / Wet,2014,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,0.11
134,84.67,Arabica,Caturra,Costa Rica,Washed / Wet,2012,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,0
135,84.67,Arabica,Typica,Taiwan,Washed / Wet,2014,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0.11
136,84.67,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,0
137,84.67,Arabica,Other,Others,Washed / Wet,2012,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,0.11
138,84.67,Arabica,Bourbon,Guatemala,Washed / Wet,2012,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,0.11
139,84.67,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,0.12
140,84.67,Arabica,Typica,Mexico,Washed / Wet,2012,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,0.13
141,84.67,Arabica,Other,Uganda,Washed / Wet,2012,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,0.11
142,84.67,Arabica,Caturra,Others,Washed / Wet,2012,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,0
143,84.67,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,0.2
144,84.58,Arabica,Other,Others,Washed / Wet,2012,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,0.11
145,84.58,Arabica,Other,Colombia,Washed / Wet,2016,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,0
146,84.58,Arabica,Caturra,Colombia,Washed / Wet,2016,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,0
147,84.58,Arabica,Other,Others,Washed / Wet,2013,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,0.1
148,84.58,Arabica,Other,Guatemala,Washed / Wet,2014,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,0.11
149,84.58,Arabica,Bourbon,Guatemala,Washed / Wet,2014,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,0.09
150,84.58,Arabica,Caturra,Colombia,Washed / Wet,2013,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,0
151,84.58,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,0
152,84.58,Arabica,Other,Others,Washed / Wet,2013,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,0
153,84.58,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,0
154,84.58,Arabica,Bourbon,Costa Rica,Semi-washed / Semi-pulped,2012,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,0.12
155,84.58,Arabica,Caturra,Colombia,Washed / Wet,2012,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,0.11
156,84.58,Arabica,Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,0.12
157,84.58,Arabica,Catuai,Brazil,Semi-washed / Semi-pulped,2011,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,0.11
158,84.5,Arabica,Caturra,Costa Rica,Washed / Wet,2018,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,0.1
159,84.5,Arabica,Other,Uganda,Washed / Wet,2016,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,0.11
160,84.5,Arabica,Other,Others,Washed / Wet,2015,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,0.1
161,84.5,Arabica,Caturra,Costa Rica,Washed / Wet,2014,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,0.11
162,84.5,Arabica,Other,Colombia,Washed / Wet,2016,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,0.12
163,84.5,Arabica,Other,Others,Washed / Wet,2013,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,0
164,84.5,Arabica,Bourbon,Guatemala,Washed / Wet,2013,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,0.11
165,84.5,Arabica,Other,Others,Washed / Wet,2012,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,0.11
166,84.5,Arabica,Typica,Mexico,Washed / Wet,2012,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,0.12
167,84.5,Arabica,Typica,Mexico,Washed / Wet,2012,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,0.11
168,84.5,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,0.11
169,84.5,Arabica,Caturra,Brazil,Washed / Wet,2012,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,0
170,84.5,Arabica,Caturra,Brazil,Washed / Wet,TEST,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,0
171,84.42,Arabica,Caturra,Costa Rica,Washed / Wet,2016,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,0.1
172,84.42,Arabica,Other,Others,Other,2017,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,0
173,84.42,Arabica,Caturra,Colombia,Natural / Dry,2016,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,0
174,84.42,Arabica,Caturra,Colombia,Washed / Wet,2014,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,0
175,84.42,Arabica,Typica,Taiwan,Washed / Wet,2012,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,0.11
176,84.42,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,0.11
177,84.42,Arabica,Other,Mexico,Washed / Wet,2012,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,0.12
178,84.42,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,0.2
179,84.33,Arabica,Other,Others,Washed / Wet,2018,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,0.11
180,84.33,Arabica,Caturra,Honduras,Washed / Wet,2016,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,0.1
181,84.33,Arabica,Caturra,Colombia,Washed / Wet,2016,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,0
